metric_id,display_name,metric_category,value_type,default_unit,currency_required,monetary_scale_required,year_basis_required,default_adjustment_basis,comparison_role,ranking_direction
reported_combined_ratio,Reported Combined Ratio,underwriting_profitability,percentage,percent,false,false,true,reported,primary,lower_is_better
underlying_adjusted_combined_ratio,Underlying or Adjusted Combined Ratio,underwriting_profitability,percentage,percent,false,false,true,company_reported_adjustment,primary,lower_is_better
loss_ratio,Loss Ratio,underwriting_profitability,percentage,percent,false,false,true,reported,component,lower_is_better
expense_ratio,Expense Ratio,underwriting_profitability,percentage,percent,false,false,true,reported,component,lower_is_better
underwriting_result,Underwriting Result,underwriting_profitability,monetary,reporting_currency,true,true,true,reported,primary,higher_is_better
earned_premium_or_insurance_revenue,Earned Premium or Insurance Revenue,business_scale,monetary,reporting_currency,true,true,true,reported,scale_reference,not_ranked
